engine,variant,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,compression_ratio
splayed,1t,R2,20000000,1,13.14,20000000,160000000,5399801099,0.6888
splayed,1t,R2,20000000,2,13.48,20000000,160000000,5399801099,0.6888
splayed,1t,R3,20000000,0,4.46,1970,63040,5399801099,0.6888
splayed,1t,R3,20000000,1,4.42,1970,63040,5399801099,0.6888
splayed,1t,R3,20000000,2,4.47,1970,63040,5399801099,0.6888
splayed,1t,R4,20000000,0,5.97,200000,6400000,5399801099,0.6888
splayed,1t,R4,20000000,1,5.98,200000,6400000,5399801099,0.6888
splayed,1t,R4,20000000,2,6.01,200000,6400000,5399801099,0.6888
splayed,1t,R5,20000000,0,7.43,197000,6304000,5399801099,0.6888
splayed,1t,R5,20000000,1,7.30,197000,6304000,5399801099,0.6888
splayed,1t,R5,20000000,2,7.32,197000,6304000,5399801099,0.6888
splayed,1t,R6,20000000,0,4.22,2,16,5399801099,0.6888
splayed,1t,R6,20000000,1,4.26,2,16,5399801099,0.6888
splayed,1t,R6,20000000,2,4.19,2,16,5399801099,0.6888
splayed,4t,W1,20000000,0,80346.31,20000000,7840000000,5399801099,0.6888
splayed,4t,R1,20000000,0,105.79,20000000,7840000000,5399801099,0.6888
splayed,4t,R1,20000000,1,116.21,20000000,7840000000,5399801099,0.6888
splayed,4t,R1,20000000,2,105.69,20000000,7840000000,5399801099,0.6888
splayed,4t,R2,20000000,0,13.00,20000000,160000000,5399801099,0.6888
splayed,4t,R2,20000000,1,12.96,20000000,160000000,5399801099,0.6888
splayed,4t,R2,20000000,2,12.90,20000000,160000000,5399801099,0.6888
splayed,4t,R3,20000000,0,4.40,1970,63040,5399801099,0.6888
splayed,4t,R3,20000000,1,4.41,1970,63040,5399801099,0.6888
splayed,4t,R3,20000000,2,4.40,1970,63040,5399801099,0.6888
splayed,4t,R4,20000000,0,6.42,200000,6400000,5399801099,0.6888
splayed,4t,R4,20000000,1,6.37,200000,6400000,5399801099,0.6888
splayed,4t,R4,20000000,2,8.23,200000,6400000,5399801099,0.6888
splayed,4t,R5,20000000,0,8.18,197000,6304000,5399801099,0.6888
splayed,4t,R5,20000000,1,7.87,197000,6304000,5399801099,0.6888
splayed,4t,R5,20000000,2,8.14,197000,6304000,5399801099,0.6888
splayed,4t,R6,20000000,0,4.21,2,16,5399801099,0.6888
splayed,4t,R6,20000000,1,4.21,2,16,5399801099,0.6888
splayed,4t,R6,20000000,2,4.24,2,16,5399801099,0.6888
parquet,1t,W1,20000000,0,125335.92,20000000,7840000000,5625544347,0.7175
parquet,1t,R1,20000000,0,21859.32,20000000,7840000000,5625544347,0.7175
parquet,1t,R1,20000000,1,22448.68,20000000,7840000000,5625544347,0.7175
parquet,1t,R1,20000000,2,22564.64,20000000,7840000000,5625544347,0.7175
parquet,1t,R2,20000000,0,274.68,20000000,160000000,5625544347,0.7175
parquet,1t,R2,20000000,1,270.93,20000000,160000000,5625544347,0.7175
parquet,1t,R2,20000000,2,271.60,20000000,160000000,5625544347,0.7175
parquet,1t,R3,20000000,0,839.70,1970,63040,5625544347,0.7175
parquet,1t,R3,20000000,1,824.93,1970,63040,5625544347,0.7175
parquet,1t,R3,20000000,2,826.94,1970,63040,5625544347,0.7175
parquet,1t,R4,20000000,0,1461.13,200000,6400000,5625544347,0.7175
parquet,1t,R4,20000000,1,1468.87,200000,6400000,5625544347,0.7175
parquet,1t,R4,20000000,2,1482.19,200000,6400000,5625544347,0.7175
parquet,1t,R5,20000000,0,241.94,197000,6304000,5625544347,0.7175
parquet,1t,R5,20000000,1,231.60,197000,6304000,5625544347,0.7175
parquet,1t,R5,20000000,2,227.13,197000,6304000,5625544347,0.7175
parquet,1t,R6,20000000,0,765.12,2,16,5625544347,0.7175
parquet,1t,R6,20000000,1,767.47,2,16,5625544347,0.7175
parquet,1t,R6,20000000,2,763.07,2,16,5625544347,0.7175
