engine,variant,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,compression_ratio
splayed,1t,R5,20000000,2,91.78,197000,6304000,5399801099,0.6888
splayed,1t,R6,20000000,0,4.18,2,16,5399801099,0.6888
splayed,1t,R6,20000000,1,4.20,2,16,5399801099,0.6888
splayed,1t,R6,20000000,2,4.16,2,16,5399801099,0.6888
splayed,4t,W1,20000000,0,88468.14,20000000,7840000000,5399801099,0.6888
splayed,4t,R1,20000000,0,17244.59,20000000,7840000000,5399801099,0.6888
splayed,4t,R1,20000000,1,17005.29,20000000,7840000000,5399801099,0.6888
splayed,4t,R1,20000000,2,17420.27,20000000,7840000000,5399801099,0.6888
splayed,4t,R2,20000000,0,8520.43,20000000,160000000,5399801099,0.6888
splayed,4t,R2,20000000,1,8403.31,20000000,160000000,5399801099,0.6888
splayed,4t,R2,20000000,2,8404.78,20000000,160000000,5399801099,0.6888
splayed,4t,R3,20000000,0,5.20,1970,63040,5399801099,0.6888
splayed,4t,R3,20000000,1,5.20,1970,63040,5399801099,0.6888
splayed,4t,R3,20000000,2,5.20,1970,63040,5399801099,0.6888
splayed,4t,R4,20000000,0,98.28,200000,6400000,5399801099,0.6888
splayed,4t,R4,20000000,1,93.56,200000,6400000,5399801099,0.6888
splayed,4t,R4,20000000,2,93.23,200000,6400000,5399801099,0.6888
splayed,4t,R5,20000000,0,93.70,197000,6304000,5399801099,0.6888
splayed,4t,R5,20000000,1,94.13,197000,6304000,5399801099,0.6888
splayed,4t,R5,20000000,2,94.24,197000,6304000,5399801099,0.6888
splayed,4t,R6,20000000,0,4.13,2,16,5399801099,0.6888
splayed,4t,R6,20000000,1,4.10,2,16,5399801099,0.6888
splayed,4t,R6,20000000,2,4.09,2,16,5399801099,0.6888
parquet,1t,W1,20000000,0,124463.58,20000000,7840000000,5625544347,0.7175
parquet,1t,R1,20000000,0,38959.35,20000000,7840000000,5625544347,0.7175
parquet,1t,R1,20000000,1,38369.69,20000000,7840000000,5625544347,0.7175
parquet,1t,R1,20000000,2,38450.64,20000000,7840000000,5625544347,0.7175
parquet,1t,R2,20000000,0,460.22,20000000,160000000,5625544347,0.7175
parquet,1t,R2,20000000,1,454.54,20000000,160000000,5625544347,0.7175
parquet,1t,R2,20000000,2,450.94,20000000,160000000,5625544347,0.7175
parquet,1t,R3,20000000,0,816.08,1970,63040,5625544347,0.7175
parquet,1t,R3,20000000,1,842.77,1970,63040,5625544347,0.7175
parquet,1t,R3,20000000,2,815.68,1970,63040,5625544347,0.7175
parquet,1t,R4,20000000,0,1503.54,200000,6400000,5625544347,0.7175
parquet,1t,R4,20000000,1,1523.60,200000,6400000,5625544347,0.7175
parquet,1t,R4,20000000,2,1541.37,200000,6400000,5625544347,0.7175
parquet,1t,R5,20000000,0,310.23,197000,6304000,5625544347,0.7175
parquet,1t,R5,20000000,1,321.64,197000,6304000,5625544347,0.7175
parquet,1t,R5,20000000,2,336.39,197000,6304000,5625544347,0.7175
parquet,1t,R6,20000000,0,835.31,2,16,5625544347,0.7175
parquet,1t,R6,20000000,1,809.64,2,16,5625544347,0.7175
parquet,1t,R6,20000000,2,783.90,2,16,5625544347,0.7175
